userId,movieId,rating
2,1287,5
3,1882,2
3,2105,3
3,27773,5
3,34150,3.5
3,45517,4
3,45722,4
3,46578,4
3,48774,4
3,50872,4
3,51255,4
3,51662,4
3,51935,4
3,52722,3.5
3,53125,4
3,53996,4
3,54001,4
3,54503,3.5
3,55765,4
3,55820,5
3,56174,3.5
3,56782,4.5
3,57368,2.5
3,59315,4
3,59369,3
3,60072,3.5
3,60684,4.5
3,60756,3.5
3,61132,3
3,62849,4
3,66097,4
3,68157,4
3,68319,4
3,68358,4
3,69844,3.5
3,70286,4
3,71535,4
3,72378,2.5
3,72998,4
3,73017,3
3,74458,4
3,76251,4
3,77561,4
3,79091,4
3,79132,5
3,79293,4
3,81591,5
3,81834,3.5
3,84152,4
3,85056,3.5
3,86332,4
3,86880,4
3,87306,3.5
3,87520,3
3,88125,3.5
3,88140,3.5
3,88744,4
3,89492,4
3,91500,3.5
3,91542,4
3,91630,4
3,93363,4
3,94018,2.5
3,94864,4
3,96079,3.5
3,96610,4
3,96737,4
3,97921,3.5
3,99112,3.5
3,99114,4
3,101864,4
3,102445,4
3,102903,3.5
3,103141,3.5
3,103228,3
3,103249,3.5
3,103253,4
3,104241,3.5
3,104841,4
3,106072,4
3,106100,4
3,106487,3
3,106920,4
3,107406,4
3,108190,3.5
3,108932,4
3,109487,4
3,110102,4
3,111362,4
3,111659,4
3,111759,4
3,112138,3
3,112370,3
3,112552,5
3,112556,5
3,112623,4
3,112852,4
3,113345,4
3,114935,4
3,115569,4
3,115617,4
3,115713,4.5
3,116797,4
3,117529,3
3,120466,3.5
3,122882,3.5
3,122886,3
3,122892,3.5
3,122900,4
3,122920,3.5
3,122924,3.5
3,130490,3.5
3,132046,3
3,134130,4
3,135133,3.5
3,135143,3.5
3,135536,3.5
3,135569,3.5
3,136020,3.5
3,136864,3.5
3,139385,4
3,139644,4
3,142509,3.5
3,143385,4
3,158238,3
3,158966,3.5
3,159093,3.5
3,164179,4
4,45517,2.5
4,45722,3.5
4,50872,4.5
4,51255,4.5
4,51935,2.5
4,53125,4.5
4,61132,4
4,68157,3.5
4,68954,4.5
4,70286,4.5
4,72998,2.5
4,73017,3.5
4,74458,5
4,74530,0.5
4,77561,1
4,79091,3.5
4,79132,4.5
